timestamp_ms,channel,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
1771936198284,AF7,44.9219,42.9688,26.3672,26.8555,45.8984,57.1289,56.6406,42.4805,26.8555,42.4805,56.1523,40.0391
1771936198342,TP10,45.4102,-0.4883,20.0195,77.1484,70.3125,16.1133,9.7656,62.5000,77.6367,20.5078,-0.4883,34.1797
1771936198343,AF8,17.5781,32.7148,44.4336,31.7383,28.3203,51.2695,51.2695,30.7617,20.9961,30.7617,30.2734,7.8125
1771936198343,TP9,60.5469,14.6484,32.2266,91.7969,84.9609,30.2734,15.6250,60.0586,89.3555,33.2031,3.4180,41.0156
1771936198344,AF7,38.0859,53.2227,59.5703,52.7344,51.7578,54.6875,44.9219,41.9922,48.3398,55.6641,64.9414,42.9688
1771936198387,TP10,79.1016,40.5273,0.0000,31.2500,72.7539,49.8047,1.9531,0.9766,52.7344,62.5000,-5.8594,-25.8789
1771936198387,AF8,2.9297,26.8555,35.6445,21.4844,6.8359,33.6914,43.4570,16.1133,-0.9766,25.8789,34.1797,10.2539
1771936198388,TP9,90.8203,60.0586,17.0898,26.3672,72.2656,73.2422,25.8789,15.6250,67.8711,98.1445,34.1797,-6.3477
1771936198388,AF7,30.7617,57.1289,63.4766,48.8281,32.7148,54.1992,80.0781,59.0820,25.8789,38.0859,56.1523,46.8750
1771936198432,TP10,41.0156,65.9180,-0.9766,-22.9492,41.0156,81.0547,16.1133,-27.8320,1.4648,61.0352,32.2266,-33.6914
1771936198433,AF8,11.7188,14.1602,13.1836,22.4609,29.7852,18.5547,32.2266,41.9922,20.9961,15.6250,26.3672,37.5977
1771936198433,TP9,51.2695,83.0078,29.7852,5.8594,53.7109,103.0273,57.1289,0.4883,24.9023,87.4023,53.2227,-10.2539
1771936198433,AF7,39.0625,39.0625,42.9688,57.1289,59.0820,40.0391,50.2930,60.5469,52.2461,38.5742,32.7148,44.4336
1771936198477,TP10,-13.1836,48.3398,36.6211,-17.0898,-12.6953,25.8789,30.7617,-20.0195,-35.6445,-5.3711,23.4375,-18.5547
1771936198477,AF8,37.5977,14.6484,12.2070,34.6680,44.4336,41.5039,26.3672,35.6445,69.8242,59.5703,27.3438,26.3672
1771936198478,TP9,2.9297,61.0352,69.3359,13.6719,-0.4883,37.5977,43.4570,0.9766,-10.7422,11.7188,39.5508,12.6953
1771936198479,AF7,49.8047,44.9219,47.3633,62.9883,68.3594,53.7109,31.7383,46.8750,73.7305,50.2930,13.1836,27.3438
1771936198522,TP10,-49.3164,-31.7383,30.2734,29.2969,-30.7617,-34.1797,20.5078,52.2461,-7.3242,-55.1758,0.0000,61.0352
1771936198522,AF8,41.5039,44.9219,22.4609,23.4375,41.0156,37.5977,13.6719,24.4141,53.7109,30.2734,9.7656,17.5781
1771936198523,TP9,-19.5313,-10.2539,41.9922,37.5977,-18.5547,-20.0195,31.7383,66.8945,20.9961,-29.2969,12.2070,65.4297
1771936198523,AF7,45.4102,31.7383,23.4375,35.1563,38.5742,27.3438,15.6250,49.3164,66.4063,32.7148,19.0430,17.0898
1771936198567,TP10,3.4180,-42.9688,-3.4180,44.9219,12.6953,-17.5781,2.9297,59.0820,33.2031,-41.5039,-12.6953,49.3164
1771936198567,AF8,27.8320,28.3203,13.1836,-6.8359,16.1133,53.7109,38.0859,0.0000,-0.9766,15.6250,18.0664,-0.9766
1771936198568,TP9,13.6719,-39.0625,-5.3711,54.6875,43.4570,14.6484,23.4375,72.2656,59.5703,-8.3008,-3.4180,52.7344
1771936198569,AF7,22.9492,18.5547,9.7656,6.3477,31.7383,63.4766,50.7813,22.9492,11.2305,8.7891,12.2070,11.7188
1771936198613,TP10,53.2227,-0.9766,-16.6016,33.6914,78.6133,26.8555,-21.4844,6.8359,52.2461,21.9727,-15.6250,0.9766
1771936198613,AF8,-5.3711,19.5313,34.6680,15.1367,4.8828,14.1602,15.6250,11.7188,-4.3945,18.0664,44.9219,20.5078
1771936198614,TP9,68.3594,21.4844,6.8359,53.2227,93.7500,46.3867,0.9766,25.8789,62.9883,42.4805,1.9531,9.2773
1771936198615,AF7,13.6719,23.9258,34.6680,33.6914,39.5508,44.4336,27.8320,15.1367,5.3711,24.4141,48.3398,36.1328
1771936198657,TP10,44.4336,38.5742,-9.2773,-18.0664,34.1797,61.0352,5.3711,-32.2266,-3.9063,50.2930,15.1367,-32.2266
1771936198657,AF8,-3.9063,8.7891,29.2969,27.8320,19.0430,15.1367,32.7148,37.5977,-3.9063,-16.6016,14.6484,31.2500
1771936198658,TP9,55.1758,49.3164,5.8594,5.8594,54.6875,73.7305,34.6680,6.8359,14.6484,71.7773,46.8750,-13.1836
1771936198658,AF7,13.1836,20.0195,57.1289,57.6172,27.8320,22.4609,52.2461,54.1992,10.7422,3.4180,27.8320,39.5508
1771936198703,TP10,-2.4414,56.1523,35.6445,-30.2734,-22.4609,47.3633,45.4102,-23.9258,-26.8555,39.0625,61.0352,-6.3477
1771936198719,AF8,24.9023,12.6953,15.1367,20.0195,20.9961,14.1602,8.7891,21.9727,31.2500,9.7656,-2.9297,10.2539
1771936198719,TP9,9.2773,75.6836,61.0352,-2.9297,-3.4180,51.7578,61.0352,5.3711,-14.1602,39.5508,75.6836,12.6953
1771936198719,AF7,29.7852,20.0195,38.5742,43.9453,31.7383,24.4141,27.8320,37.1094,35.6445,30.2734,20.5078,26.3672
1771936198762,TP10,-43.9453,0.9766,62.0117,17.5781,-32.2266,-5.8594,47.8516,29.2969,-26.8555,-25.8789,23.9258,42.9688
1771936198762,AF8,20.5078,19.5313,25.3906,32.7148,25.3906,9.7656,-10.2539,0.9766,19.5313,20.0195,2.9297,11.7188
1771936198764,TP9,-19.5313,28.3203,81.5430,45.4102,-10.7422,11.2305,68.8477,46.8750,-2.9297,9.7656,55.6641,65.4297
1771936198764,AF7,38.5742,33.2031,33.6914,41.0156,41.0156,31.7383,19.5313,34.1797,46.3867,32.7148,8.3008,17.5781
1771936198807,TP10,-0.9766,-37.5977,-5.8594,24.4141,-26.3672,-49.3164,-1.4648,39.5508,5.3711,-28.3203,-1.4648,55.1758
1771936198807,AF8,41.5039,29.7852,-10.2539,-15.6250,18.5547,27.8320,10.7422,-7.3242,11.7188,36.1328,27.8320,10.7422
1771936198808,TP9,23.9258,-1.9531,25.8789,64.4531,31.7383,1.4648,37.5977,79.1016,50.7813,14.1602,35.6445,81.5430
1771936198837,AF7,43.4570,36.6211,17.0898,18.5547,34.6680,37.5977,41.0156,24.9023,20.0195,35.1563,32.7148,21.4844
1771936198853,TP10,23.9258,-42.4805,-46.3867,-4.8828,11.2305,-36.6211,-68.3594,-19.5313,49.8047,-4.8828,-60.5469,-14.1602
1771936198853,AF8,16.6016,30.2734,21.4844,0.9766,2.9297,25.3906,28.8086,16.1133,15.6250,25.8789,26.3672,26.3672
